model,source,control,metric,target,estimate,ci_low,ci_high,confidence_level,bootstrap_samples,bootstrap_unit,estimand_weighting,n_images,n_evaluable
llava,phase10_intervention_baseline,image,teacher_forced_accuracy,all,0.5503597122302158,0.5164702159344751,0.585043823627544,0.95,10000,image_id,decision,77,834
llava,phase10_intervention_baseline,image,teacher_forced_accuracy,0,0.3237410071942446,0.279126213592233,0.3689095127610209,0.95,10000,image_id,decision,75,417
llava,phase10_intervention_baseline,image,teacher_forced_accuracy,1,0.7769784172661871,0.7376228846288885,0.8130841121495327,0.95,10000,image_id,decision,76,417
llava,retained_behavior,image,teacher_forced_accuracy,all,0.5503597122302158,0.5164702159344751,0.585043823627544,0.95,10000,image_id,decision,77,834
llava,retained_behavior,image,generation_accuracy_all,all,0.5311750599520384,0.49882862260592875,0.5631188118811881,0.95,10000,image_id,decision,77,834
llava,retained_behavior,image,generation_parse_rate,all,1.0,1.0,1.0,0.95,10000,image_id,decision,77,834
llava,retained_behavior,image,generation_accuracy_parseable,all,0.5311750599520384,0.4982657954842296,0.5632607179728677,0.95,10000,image_id,decision,77,834
llava,retained_behavior,image,teacher_forced_accuracy,0,0.3237410071942446,0.279126213592233,0.3689095127610209,0.95,10000,image_id,decision,75,417
llava,retained_behavior,image,generation_accuracy_all,0,0.20863309352517986,0.16911764705882354,0.24940631549531928,0.95,10000,image_id,decision,75,417
llava,retained_behavior,image,generation_parse_rate,0,1.0,1.0,1.0,0.95,10000,image_id,decision,75,417
llava,retained_behavior,image,generation_accuracy_parseable,0,0.20863309352517986,0.16876574307304787,0.25,0.95,10000,image_id,decision,75,417
llava,retained_behavior,image,teacher_forced_accuracy,1,0.7769784172661871,0.7376228846288885,0.8130841121495327,0.95,10000,image_id,decision,76,417
llava,retained_behavior,image,generation_accuracy_all,1,0.8537170263788969,0.8186157517899761,0.8867469879518072,0.95,10000,image_id,decision,76,417
llava,retained_behavior,image,generation_parse_rate,1,1.0,1.0,1.0,0.95,10000,image_id,decision,76,417
