decision_id,image_id,class_id,attribute_id,target,correct_answer_margin,raw_yes_minus_no_margin
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,-0.078125,0.078125
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,0.28125,0.28125
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,-1.0390625,1.0390625
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,-0.3828125,-0.3828125
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,0.65625,0.65625
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,-1.1796875,1.1796875
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,-1.2265625,1.2265625
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,0.125,0.125
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,-0.140625,-0.140625
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,-1.328125,1.328125
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,-0.140625,0.140625
11375::312::cub_attribute_yes_no_v1,11375,194,312,1,0.7421875,0.7421875
11375::7::cub_attribute_yes_no_v1,11375,194,7,0,-0.9453125,0.9453125
11375::8::cub_attribute_yes_no_v1,11375,194,8,0,-1.0078125,1.0078125
11387::100::cub_attribute_yes_no_v1,11387,194,100,1,1.328125,1.328125
11387::102::cub_attribute_yes_no_v1,11387,194,102,0,1.546875,-1.546875
11387::104::cub_attribute_yes_no_v1,11387,194,104,0,-1.265625,1.265625
11387::107::cub_attribute_yes_no_v1,11387,194,107,0,-1.0859375,1.0859375
11387::117::cub_attribute_yes_no_v1,11387,194,117,1,-0.09375,-0.09375
11387::118::cub_attribute_yes_no_v1,11387,194,118,0,0.2421875,-0.2421875
11387::120::cub_attribute_yes_no_v1,11387,194,120,1,1.0234375,1.0234375
11387::294::cub_attribute_yes_no_v1,11387,194,294,0,0.421875,-0.421875
11387::305::cub_attribute_yes_no_v1,11387,194,305,1,0.0859375,0.0859375
11387::309::cub_attribute_yes_no_v1,11387,194,309,0,0.6171875,-0.6171875
11387::310::cub_attribute_yes_no_v1,11387,194,310,1,0.9296875,0.9296875
11387::311::cub_attribute_yes_no_v1,11387,194,311,0,-0.7890625,0.7890625
11387::7::cub_attribute_yes_no_v1,11387,194,7,1,0.84375,0.84375
11387::8::cub_attribute_yes_no_v1,11387,194,8,0,-0.7890625,0.7890625
11424::100::cub_attribute_yes_no_v1,11424,194,100,1,1.09375,1.09375
11424::295::cub_attribute_yes_no_v1,11424,194,295,1,1.3515625,1.3515625
11424::305::cub_attribute_yes_no_v1,11424,194,305,0,-0.46875,0.46875
11424::310::cub_attribute_yes_no_v1,11424,194,310,1,0.1171875,0.1171875
11424::311::cub_attribute_yes_no_v1,11424,194,311,0,-0.6875,0.6875
11424::7::cub_attribute_yes_no_v1,11424,194,7,0,-0.5546875,0.5546875
11428::100::cub_attribute_yes_no_v1,11428,194,100,1,0.890625,0.890625
11428::101::cub_attribute_yes_no_v1,11428,194,101,0,-0.0078125,0.0078125
11428::102::cub_attribute_yes_no_v1,11428,194,102,0,1.4375,-1.4375
11428::104::cub_attribute_yes_no_v1,11428,194,104,0,-1.0859375,1.0859375
11428::107::cub_attribute_yes_no_v1,11428,194,107,0,-1.1796875,1.1796875
11428::111::cub_attribute_yes_no_v1,11428,194,111,1,0.46875,0.46875
11428::117::cub_attribute_yes_no_v1,11428,194,117,1,-0.2265625,-0.2265625
11428::118::cub_attribute_yes_no_v1,11428,194,118,1,-0.2890625,-0.2890625
11428::295::cub_attribute_yes_no_v1,11428,194,295,0,-0.8828125,0.8828125
11428::299::cub_attribute_yes_no_v1,11428,194,299,1,0.5390625,0.5390625
11428::305::cub_attribute_yes_no_v1,11428,194,305,1,0.15625,0.15625
11428::310::cub_attribute_yes_no_v1,11428,194,310,1,0.6953125,0.6953125
11428::311::cub_attribute_yes_no_v1,11428,194,311,0,-0.6796875,0.6796875
11428::7::cub_attribute_yes_no_v1,11428,194,7,1,0.40625,0.40625
11440::100::cub_attribute_yes_no_v1,11440,195,100,1,1.203125,1.203125
11440::104::cub_attribute_yes_no_v1,11440,195,104,0,-0.9921875,0.9921875
11440::118::cub_attribute_yes_no_v1,11440,195,118,0,0.9921875,-0.9921875
11440::120::cub_attribute_yes_no_v1,11440,195,120,1,1.3515625,1.3515625
11440::295::cub_attribute_yes_no_v1,11440,195,295,1,1.3046875,1.3046875
11440::309::cub_attribute_yes_no_v1,11440,195,309,1,-0.4296875,-0.4296875
11440::311::cub_attribute_yes_no_v1,11440,195,311,0,-0.0234375,0.0234375
11440::7::cub_attribute_yes_no_v1,11440,195,7,0,-0.421875,0.421875
11440::8::cub_attribute_yes_no_v1,11440,195,8,0,-0.2421875,0.2421875
11443::101::cub_attribute_yes_no_v1,11443,195,101,1,0.71875,0.71875
11443::104::cub_attribute_yes_no_v1,11443,195,104,0,-0.859375,0.859375
11443::105::cub_attribute_yes_no_v1,11443,195,105,1,-0.4375,-0.4375
11443::107::cub_attribute_yes_no_v1,11443,195,107,0,-1.46875,1.46875
11443::111::cub_attribute_yes_no_v1,11443,195,111,0,-0.4609375,0.4609375
11443::117::cub_attribute_yes_no_v1,11443,195,117,0,-0.1484375,0.1484375
11443::120::cub_attribute_yes_no_v1,11443,195,120,1,1.1875,1.1875
11443::294::cub_attribute_yes_no_v1,11443,195,294,0,0.6484375,-0.6484375
11443::295::cub_attribute_yes_no_v1,11443,195,295,1,1.4375,1.4375
11443::309::cub_attribute_yes_no_v1,11443,195,309,1,-0.3984375,-0.3984375
11443::311::cub_attribute_yes_no_v1,11443,195,311,0,0.4453125,-0.4453125
11443::96::cub_attribute_yes_no_v1,11443,195,96,0,-1.28125,1.28125
