estimand,metric_scale,stage,contrast_type,selection_method,target,grouping,equal_group_estimate,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,confidence_level,bootstrap_samples,n_groups_total,n_groups_eligible,leave_one_group_out_min,leave_one_group_out_min_omitted,leave_one_group_out_max,leave_one_group_out_max_omitted,max_absolute_leave_one_out_change
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,0.06239802908399702,-0.006796656003664694,0.1306157540362544,0.95,10000,26,26,0.048333310366404515,104,0.07553631135846801,102,0.014064718717592503
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,0.026463543388999117,-0.021080159666676996,0.08047272966442072,0.95,10000,20,20,0.008981660060161977,99,0.03526267428191428,123,0.01748188332883714
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,1,attribute_id,0.09395836109802369,0.022232416039446774,0.16634657244134324,0.95,10000,26,26,0.07966113998638909,2,0.10677268512527797,102,0.014297221111634603
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,1,class_id,0.06537976784680886,0.02560248020717076,0.1040016907384156,0.95,10000,20,20,0.057498679696202315,130,0.07326012921844542,36,0.00788108815060655
selector_target_difference::raw_yes_minus_no::vision.late::vision_cls_attention,raw_yes_minus_no,vision.late,selector_target_difference,vision_cls_attention,,attribute_id,0.03156033201402667,-0.01690246310846692,0.07790921735110169,0.95,10000,26,26,0.021650870294587742,2,0.04514045362792107,310,0.013580121613894401
selector_target_difference::raw_yes_minus_no::vision.late::vision_cls_attention,raw_yes_minus_no,vision.late,selector_target_difference,vision_cls_attention,,class_id,0.03891622445780975,-0.007567341557255491,0.0858569590250651,0.95,10000,20,20,0.028015529909118864,150,0.05168356637397893,99,0.012767341916169184
selector_effect::raw_yes_minus_no::vision.late::logit_concept::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,logit_concept,0,attribute_id,-0.035776022951422064,-0.05699443583940653,-0.01417660165987804,0.95,10000,26,26,-0.04081817498059006,102,-0.03145706386947895,101,0.0050421520291679955
selector_effect::raw_yes_minus_no::vision.late::logit_concept::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,logit_concept,0,class_id,-0.032556225542879194,-0.08043444307519014,0.017226232135106632,0.95,10000,20,20,-0.0505139349386197,99,-0.019132040532465425,56,0.017957709395740505
selector_effect::raw_yes_minus_no::vision.late::logit_concept::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,logit_concept,1,attribute_id,-0.03154486446775849,-0.06679891518631328,0.003352536159304159,0.95,10000,26,26,-0.03863999237980216,311,-0.02294554793535772,2,0.008599316532400772
selector_effect::raw_yes_minus_no::vision.late::logit_concept::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,logit_concept,1,class_id,-0.006393345424107141,-0.028027185187768682,0.019861131133225858,0.95,10000,20,20,-0.015695937434732663,131,-0.002133997102130324,123,0.009302592010625523
selector_target_difference::raw_yes_minus_no::vision.late::logit_concept,raw_yes_minus_no,vision.late,selector_target_difference,logit_concept,,attribute_id,0.004231158483663577,-0.03533839863026875,0.04042110768577201,0.95,10000,26,26,-0.002266261843656546,107,0.015199015934121232,2,0.010967857450457655
selector_target_difference::raw_yes_minus_no::vision.late::logit_concept,raw_yes_minus_no,vision.late,selector_target_difference,logit_concept,,class_id,0.02616288011877205,-0.024705689445374494,0.07496419690651869,0.95,10000,20,20,0.01544801221079319,56,0.0422612475561009,99,0.016098367437328853
selector_difference::raw_yes_minus_no::vision.late::target_0,raw_yes_minus_no,vision.late,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,attribute_id,0.12657654916373212,0.03501735557545398,0.2176560933915935,0.95,10000,26,26,0.10779933335250363,101,0.14735141668583698,102,0.020774867522104862
selector_difference::raw_yes_minus_no::vision.late::target_0,raw_yes_minus_no,vision.late,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,class_id,0.07651908430472884,0.014979199929212136,0.13595225952794313,0.95,10000,20,20,0.06538436749425647,130,0.09136838134833611,67,0.014849297043607268
selector_difference::raw_yes_minus_no::vision.late::target_1,raw_yes_minus_no,vision.late,selector_difference_by_target,vision_cls_attention_minus_logit_concept,1,attribute_id,0.14516525333448171,0.04320495823856476,0.2587886991749774,0.95,10000,26,26,0.11326353013452764,2,0.16249192519625605,117,0.031901723199954074
selector_difference::raw_yes_minus_no::vision.late::target_1,raw_yes_minus_no,vision.late,selector_difference_by_target,vision_cls_attention_minus_logit_concept,1,class_id,0.08248542906746031,0.029811827644469286,0.1355776105608259,0.95,10000,20,20,0.06934001670843776,56,0.09328350172305765,67,0.013145412359022557
selector_difference_target_difference::raw_yes_minus_no::vision.late,raw_yes_minus_no,vision.late,selector_difference_target_difference,vision_cls_attention_minus_logit_concept,,attribute_id,0.018588704170749572,-0.0491635169756773,0.09225842218768684,0.95,10000,26,26,-0.007264969884642667,2,0.03391558567091289,310,0.02585367405539224
selector_difference_target_difference::raw_yes_minus_no::vision.late,raw_yes_minus_no,vision.late,selector_difference_target_difference,vision_cls_attention_minus_logit_concept,,class_id,0.005966344762731484,-0.050973057015232304,0.06230628054987183,0.95,10000,20,20,-0.007470975072229181,150,0.020047079504316348,92,0.014080734741584864
selector_effect::raw_yes_minus_no::projector.output::vision_cls_attention::target_0,raw_yes_minus_no,projector.output,selector_effect_by_target,vision_cls_attention,0,attribute_id,0.0820861030628071,0.009731240226051366,0.15738742871818973,0.95,10000,26,26,0.06629216623293842,104,0.09557137010198605,102,0.015793936829868682
selector_effect::raw_yes_minus_no::projector.output::vision_cls_attention::target_0,raw_yes_minus_no,projector.output,selector_effect_by_target,vision_cls_attention,0,class_id,0.043604339115203374,-0.0031740559572895986,0.09706779827138103,0.95,10000,20,20,0.02650572761656746,99,0.05245958932161132,67,0.017098611498635913
selector_effect::raw_yes_minus_no::projector.output::vision_cls_attention::target_1,raw_yes_minus_no,projector.output,selector_effect_by_target,vision_cls_attention,1,attribute_id,0.11451534685914994,0.03974186549151521,0.19191781600064067,0.95,10000,26,26,0.09958703216208736,104,0.12777868642796036,102,0.014928314697062572
selector_effect::raw_yes_minus_no::projector.output::vision_cls_attention::target_1,raw_yes_minus_no,projector.output,selector_effect_by_target,vision_cls_attention,1,class_id,0.08387926212694279,0.04467073591928634,0.12345694163488963,0.95,10000,20,20,0.0755135553456123,130,0.09247653571319793,36,0.008597273586255144
selector_target_difference::raw_yes_minus_no::projector.output::vision_cls_attention,raw_yes_minus_no,projector.output,selector_target_difference,vision_cls_attention,,attribute_id,0.032429243796342835,-0.017813596368650954,0.07985749260295652,0.95,10000,26,26,0.02265002465930766,2,0.04623013378629179,310,0.013800889989948953
selector_target_difference::raw_yes_minus_no::projector.output::vision_cls_attention,raw_yes_minus_no,projector.output,selector_target_difference,vision_cls_attention,,class_id,0.04027492301173942,-0.00737900732938574,0.08768733053863362,0.95,10000,20,20,0.028944893701267058,150,0.05318732350624826,99,0.012912400494508841
selector_effect::raw_yes_minus_no::projector.output::logit_concept::target_0,raw_yes_minus_no,projector.output,selector_effect_by_target,logit_concept,0,attribute_id,-0.026881529569694765,-0.04988814174654372,-0.004041501372433994,0.95,10000,26,26,-0.03210113599057779,312,-0.022817901863593667,101,0.0052196064208830245
selector_effect::raw_yes_minus_no::projector.output::logit_concept::target_0,raw_yes_minus_no,projector.output,selector_effect_by_target,logit_concept,0,class_id,-0.025038119522982804,-0.06927175079830108,0.02083189949156745,0.95,10000,20,20,-0.04077550919399192,99,-0.012103432953042328,56,0.015737389671009117
selector_effect::raw_yes_minus_no::projector.output::logit_concept::target_1,raw_yes_minus_no,projector.output,selector_effect_by_target,logit_concept,1,attribute_id,-0.024631810453892088,-0.062082869747968956,0.010278901364249738,0.95,10000,26,26,-0.03287294224704777,311,-0.014540693983158883,2,0.010091116470733205
selector_effect::raw_yes_minus_no::projector.output::logit_concept::target_1,raw_yes_minus_no,projector.output,selector_effect_by_target,logit_concept,1,class_id,-0.0007761605076058204,-0.023138614715091762,0.025318023197234613,0.95,10000,20,20,-0.009892433992968531,131,0.0032746389628585354,123,0.009116273485362711
selector_target_difference::raw_yes_minus_no::projector.output::logit_concept,raw_yes_minus_no,projector.output,selector_target_difference,logit_concept,,attribute_id,0.0022497191158026785,-0.037612704136141636,0.03998823406010694,0.95,10000,26,26,-0.003858208786231882,308,0.014423041213768119,2,0.01217332209796544
selector_target_difference::raw_yes_minus_no::projector.output::logit_concept,raw_yes_minus_no,projector.output,selector_target_difference,logit_concept,,class_id,0.024261959015376984,-0.02329230834315062,0.06874550277467757,0.95,10000,20,20,0.014838596600006958,56,0.039298890128968256,99,0.015036931113591272
selector_difference::raw_yes_minus_no::projector.output::target_0,raw_yes_minus_no,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,attribute_id,0.14029015095074596,0.04604834548237273,0.23425882872654902,0.95,10000,26,26,0.12035116175068054,104,0.16061529865544244,102,0.020325147704696483
selector_difference::raw_yes_minus_no::projector.output::target_0,raw_yes_minus_no,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,class_id,0.08604419849537037,0.01959716635406333,0.1508291002707506,0.95,10000,20,20,0.07425682261208577,130,0.10201746771442495,67,0.01597326921905458
