estimand,metric_scale,stage,contrast_type,source,selection_method,target,target_difference,estimate,ci_low,ci_high,simultaneous_ci_low,simultaneous_ci_high,confidence_level,familywise_confidence_level,bootstrap_samples,bootstrap_unit,family_id,family_size,critical_max_t,n_images,n_target_0_images,n_target_1_images
selector_difference::correct_answer_margin::projector.output::target_0,correct_answer_margin,projector.output,selector_difference_by_target,differences,vision_cls_attention_minus_logit_concept,0,False,-0.082171875,-0.13815085169210226,-0.024841563326719582,-0.1602228890549352,-0.004120860945064822,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,75,75,0
selector_difference::correct_answer_margin::projector.output::target_1,correct_answer_margin,projector.output,selector_difference_by_target,differences,vision_cls_attention_minus_logit_concept,1,False,0.08997821430747006,0.040310808982683986,0.1429793021308217,0.020204238147028153,0.15975219046791198,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,76,0,76
selector_difference::correct_answer_margin::vision.late::target_0,correct_answer_margin,vision.late,selector_difference_by_target,differences,vision_cls_attention_minus_logit_concept,0,False,-0.07189229221781306,-0.12608672172598465,-0.017040388695987677,-0.14687380989084511,0.0030892254552190024,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,75,75,0
selector_difference::correct_answer_margin::vision.late::target_1,correct_answer_margin,vision.late,selector_difference_by_target,differences,vision_cls_attention_minus_logit_concept,1,False,0.07719449176326232,0.027759688527960534,0.12875435787241027,0.008267779591474747,0.1461212039350499,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,76,0,76
selector_difference::raw_yes_minus_no::projector.output::target_0,raw_yes_minus_no,projector.output,selector_difference_by_target,differences,vision_cls_attention_minus_logit_concept,0,False,0.082171875,0.02446051009156479,0.14151091458844595,0.0001763748106086288,0.1641673751893914,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,75,75,0
selector_difference::raw_yes_minus_no::projector.output::target_1,raw_yes_minus_no,projector.output,selector_difference_by_target,differences,vision_cls_attention_minus_logit_concept,1,False,0.08997821430747006,0.04019061706465336,0.14257107688456275,0.01841793758405437,0.16153849103088574,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,76,0,76
selector_difference::raw_yes_minus_no::vision.late::target_0,raw_yes_minus_no,vision.late,selector_difference_by_target,differences,vision_cls_attention_minus_logit_concept,0,False,0.07189229221781306,0.01705820512197466,0.1291156804814729,-0.0068368550201513,0.1506214394557774,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,75,75,0
selector_difference::raw_yes_minus_no::vision.late::target_1,raw_yes_minus_no,vision.late,selector_difference_by_target,differences,vision_cls_attention_minus_logit_concept,1,False,0.07719449176326232,0.028352917286706355,0.12835163066410274,0.0064175282784258575,0.1479714552480988,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,76,0,76
selector_difference_target_difference::correct_answer_margin::projector.output,correct_answer_margin,projector.output,selector_difference_target_difference,differences,vision_cls_attention_minus_logit_concept,,True,0.17215008930747006,0.08107969186313033,0.2629533282478848,0.04714380893150513,0.29715636968343495,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,77,75,76
selector_difference_target_difference::correct_answer_margin::vision.late,correct_answer_margin,vision.late,selector_difference_target_difference,differences,vision_cls_attention_minus_logit_concept,,True,0.1490867839810754,0.061692366894590595,0.23834237032718217,0.028545736194950044,0.26962783176720073,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,77,75,76
selector_difference_target_difference::raw_yes_minus_no::projector.output,raw_yes_minus_no,projector.output,selector_difference_target_difference,differences,vision_cls_attention_minus_logit_concept,,True,0.007806339307470059,-0.04963798584691023,0.06512591147714722,-0.07338940843592719,0.0890020870508673,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,77,75,76
selector_difference_target_difference::raw_yes_minus_no::vision.late,raw_yes_minus_no,vision.late,selector_difference_target_difference,differences,vision_cls_attention_minus_logit_concept,,True,0.005302199545449263,-0.05230473788157938,0.06237846171230655,-0.0753294791061238,0.08593387819702232,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,77,75,76
selector_effect::correct_answer_margin::projector.output::logit_concept::target_0,correct_answer_margin,projector.output,selector_effect_by_target,effects,logit_concept,0,False,0.02044849537037037,-0.020281926332758982,0.056739079384214554,-0.032081332681091035,0.07297832342183178,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,75,75,0
selector_effect::correct_answer_margin::projector.output::logit_concept::target_1,correct_answer_margin,projector.output,selector_effect_by_target,effects,logit_concept,1,False,0.0004207295582706771,-0.02480452702023168,0.028157894935504853,-0.03598470834347609,0.03682616746001744,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,76,0,76
selector_effect::correct_answer_margin::projector.output::vision_cls_attention::target_0,correct_answer_margin,projector.output,selector_effect_by_target,effects,vision_cls_attention,0,False,-0.04413202711640212,-0.08540135364580087,-0.0036313679593768878,-0.10045576024811811,0.012191706015313872,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,75,75,0
selector_effect::correct_answer_margin::projector.output::vision_cls_attention::target_1,correct_answer_margin,projector.output,selector_effect_by_target,effects,vision_cls_attention,1,False,0.08118332873742516,0.04765956855636547,0.1153100515125267,0.0352523028274829,0.12711435464736742,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,76,0,76
selector_effect::correct_answer_margin::vision.late::logit_concept::target_0,correct_answer_margin,vision.late,selector_effect_by_target,effects,logit_concept,0,False,0.027691275352733687,-0.013601206302774145,0.0638239282938219,-0.025145414289791817,0.08052796499525919,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,75,75,0
selector_effect::correct_answer_margin::vision.late::logit_concept::target_1,correct_answer_margin,vision.late,selector_effect_by_target,effects,logit_concept,1,False,-0.0056681825005221375,-0.03082353171382189,0.021886051807366927,-0.04199200630108984,0.030655641300045562,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,76,0,76
selector_effect::correct_answer_margin::vision.late::vision_cls_attention::target_0,correct_answer_margin,vision.late,selector_effect_by_target,effects,vision_cls_attention,0,False,-0.02678081252755732,-0.06739010169307999,0.012702684023970515,-0.08194360406601024,0.028381979010895605,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,75,75,0
selector_effect::correct_answer_margin::vision.late::vision_cls_attention::target_1,correct_answer_margin,vision.late,selector_effect_by_target,effects,vision_cls_attention,1,False,0.06271055854153613,0.029972501036118943,0.09643917299992913,0.017623387896748395,0.10779772918632388,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,76,0,76
selector_effect::raw_yes_minus_no::projector.output::logit_concept::target_0,raw_yes_minus_no,projector.output,selector_effect_by_target,effects,logit_concept,0,False,-0.02044849537037037,-0.0562376986783982,0.020228372555032688,-0.07452978075191966,0.03363279001117891,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,75,75,0
selector_effect::raw_yes_minus_no::projector.output::logit_concept::target_1,raw_yes_minus_no,projector.output,selector_effect_by_target,effects,logit_concept,1,False,0.0004207295582706771,-0.024033449917110483,0.028693838941577367,-0.03666618225444395,0.0375076413709853,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,76,0,76
selector_effect::raw_yes_minus_no::projector.output::vision_cls_attention::target_0,raw_yes_minus_no,projector.output,selector_effect_by_target,effects,vision_cls_attention,0,False,0.04413202711640212,0.0027879591742603254,0.08747607963208916,-0.015356977877078161,0.10362103210988241,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,75,75,0
selector_effect::raw_yes_minus_no::projector.output::vision_cls_attention::target_1,raw_yes_minus_no,projector.output,selector_effect_by_target,effects,vision_cls_attention,1,False,0.08118332873742516,0.04833260095172066,0.1155508405378953,0.03376675901656571,0.12859989845828462,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,76,0,76
selector_effect::raw_yes_minus_no::vision.late::logit_concept::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,effects,logit_concept,0,False,-0.027691275352733687,-0.06340321429703921,0.013504441243699036,-0.08215535542633141,0.026772804720864036,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,75,75,0
selector_effect::raw_yes_minus_no::vision.late::logit_concept::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,effects,logit_concept,1,False,-0.0056681825005221375,-0.030380010356633427,0.02223557755064745,-0.04261318628904203,0.031276821287997754,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,76,0,76
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,effects,vision_cls_attention,0,False,0.02678081252755732,-0.013953205598360044,0.06877219622797864,-0.03165034694387357,0.08521197199898821,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,75,75,0
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,effects,vision_cls_attention,1,False,0.06271055854153613,0.030293727697987403,0.09680092450677116,0.016031239181977915,0.10938987790109436,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,76,0,76
selector_target_difference::correct_answer_margin::projector.output::logit_concept,correct_answer_margin,projector.output,selector_target_difference,effects,logit_concept,,True,-0.020027765812099693,-0.07017309765775168,0.03680950355466458,-0.09300984892150638,0.052954317297306985,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,77,75,76
selector_target_difference::correct_answer_margin::projector.output::vision_cls_attention,correct_answer_margin,projector.output,selector_target_difference,effects,vision_cls_attention,,True,0.12531535585382728,0.06589521138052852,0.1869314551356081,0.04193260519046253,0.208698106517192,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,77,75,76
selector_target_difference::correct_answer_margin::vision.late::logit_concept,correct_answer_margin,vision.late,selector_target_difference,effects,logit_concept,,True,-0.03335945785325582,-0.08198022007856934,0.021535363654616918,-0.10487234676773421,0.03815343106122257,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,77,75,76
selector_target_difference::correct_answer_margin::vision.late::vision_cls_attention,correct_answer_margin,vision.late,selector_target_difference,effects,vision_cls_attention,,True,0.08949137106909345,0.031199374282642543,0.15005200903664642,0.0077286486971405305,0.17125409344104636,0.95,0.95,10000,image_id,main_correct_answer_margin,18,2.6866674296677897,77,75,76
selector_target_difference::raw_yes_minus_no::projector.output::logit_concept,raw_yes_minus_no,projector.output,selector_target_difference,effects,logit_concept,,True,0.020869224928641048,-0.01885781653841634,0.05907080178449868,-0.034441428308342806,0.0761798781656249,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,77,75,76
selector_target_difference::raw_yes_minus_no::projector.output::vision_cls_attention,raw_yes_minus_no,projector.output,selector_target_difference,effects,vision_cls_attention,,True,0.03705130162102304,-0.006690414208449127,0.08113988366266284,-0.025515405743153703,0.09961800898519979,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,77,75,76
selector_target_difference::raw_yes_minus_no::vision.late::logit_concept,raw_yes_minus_no,vision.late,selector_target_difference,effects,logit_concept,,True,0.02202309285221155,-0.019350928672220404,0.06208623899760308,-0.03592872760055922,0.07997491330498233,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,77,75,76
selector_target_difference::raw_yes_minus_no::vision.late::vision_cls_attention,raw_yes_minus_no,vision.late,selector_target_difference,effects,vision_cls_attention,,True,0.03592974601397882,-0.007392937679992759,0.07878705814402776,-0.025457775772435513,0.09731726780039315,0.95,0.95,10000,image_id,main_raw_yes_minus_no,18,2.7730073050814927,77,75,76
