decision_id,image_id,class_id,attribute_id,target,stage,selection_k,metric_scale,left_selector,right_selector,effect
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,32,correct_answer_margin,vision_cls_attention,logit_concept,0.3046875
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,32,raw_yes_minus_no,vision_cls_attention,logit_concept,-0.3046875
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,32,correct_answer_margin,vision_cls_attention,logit_concept,0.31510416666666663
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,32,raw_yes_minus_no,vision_cls_attention,logit_concept,-0.31510416666666663
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,32,correct_answer_margin,vision_cls_attention,logit_concept,-0.028645833333333336
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,32,raw_yes_minus_no,vision_cls_attention,logit_concept,-0.028645833333333336
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,32,correct_answer_margin,vision_cls_attention,logit_concept,-0.007812500000000003
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,32,raw_yes_minus_no,vision_cls_attention,logit_concept,-0.007812500000000003
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,32,correct_answer_margin,vision_cls_attention,logit_concept,-0.6536458333333334
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,32,raw_yes_minus_no,vision_cls_attention,logit_concept,0.6536458333333334
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,32,correct_answer_margin,vision_cls_attention,logit_concept,-0.6927083333333334
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,32,raw_yes_minus_no,vision_cls_attention,logit_concept,0.6927083333333334
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,32,correct_answer_margin,vision_cls_attention,logit_concept,-0.3489583333333333
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,32,raw_yes_minus_no,vision_cls_attention,logit_concept,-0.3489583333333333
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,32,correct_answer_margin,vision_cls_attention,logit_concept,-0.3515625
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,32,raw_yes_minus_no,vision_cls_attention,logit_concept,-0.3515625
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,32,correct_answer_margin,vision_cls_attention,logit_concept,-0.015625000000000014
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,32,raw_yes_minus_no,vision_cls_attention,logit_concept,-0.015625000000000014
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,32,correct_answer_margin,vision_cls_attention,logit_concept,-0.04166666666666667
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,32,raw_yes_minus_no,vision_cls_attention,logit_concept,-0.04166666666666667
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,32,correct_answer_margin,vision_cls_attention,logit_concept,-0.6458333333333333
