decision_id,image_id,class_id,attribute_id,target,stage,selection_method,selection_k,metric_scale,effect
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,logit_concept,32,correct_answer_margin,-0.059895833333333336
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,logit_concept,32,raw_yes_minus_no,0.059895833333333336
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,vision_cls_attention,8,correct_answer_margin,0.10677083333333333
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,vision_cls_attention,8,raw_yes_minus_no,-0.10677083333333333
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,vision_cls_attention,16,correct_answer_margin,0.19010416666666666
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,vision_cls_attention,16,raw_yes_minus_no,-0.19010416666666666
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,vision_cls_attention,32,correct_answer_margin,0.2552083333333333
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,vision_cls_attention,32,raw_yes_minus_no,-0.2552083333333333
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,vision_cls_attention,64,correct_answer_margin,0.2838541666666667
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,projector.output,vision_cls_attention,64,raw_yes_minus_no,-0.2838541666666667
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,logit_concept,32,correct_answer_margin,-0.036458333333333336
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,logit_concept,32,raw_yes_minus_no,0.036458333333333336
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,vision_cls_attention,8,correct_answer_margin,0.10416666666666667
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,vision_cls_attention,8,raw_yes_minus_no,-0.10416666666666667
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,vision_cls_attention,16,correct_answer_margin,0.19791666666666666
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,vision_cls_attention,16,raw_yes_minus_no,-0.19791666666666666
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,vision_cls_attention,32,correct_answer_margin,0.2682291666666667
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,vision_cls_attention,32,raw_yes_minus_no,-0.2682291666666667
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,vision_cls_attention,64,correct_answer_margin,0.2864583333333333
11375::101::cub_attribute_yes_no_v1,11375,194,101,0,vision.late,vision_cls_attention,64,raw_yes_minus_no,-0.2864583333333333
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,logit_concept,32,correct_answer_margin,-0.010416666666666664
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,logit_concept,32,raw_yes_minus_no,-0.010416666666666664
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,vision_cls_attention,8,correct_answer_margin,-0.06510416666666667
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,vision_cls_attention,8,raw_yes_minus_no,-0.06510416666666667
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,vision_cls_attention,16,correct_answer_margin,-0.08333333333333333
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,vision_cls_attention,16,raw_yes_minus_no,-0.08333333333333333
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,vision_cls_attention,32,correct_answer_margin,-0.018229166666666668
