stage,pooling,control,seed,macro_auroc,macro_f1,evaluable_auroc_attributes,evaluable_f1_attributes,selected_attributes,feature_dim,train_examples,validation_examples
vision.early,mean,primary,0,0.555315027870084,0.22619042512920662,26,26,26,1024,160,80
vision.early,mean,primary,1,0.5566305405533771,0.2353349492637781,26,26,26,1024,160,80
vision.early,mean,primary,2,0.556430444926096,0.22976144135226184,26,26,26,1024,160,80
vision.early,mean,prevalence,-1,0.5,0.0,26,26,26,1024,160,80
vision.early,mean,shuffled_labels,0,0.5083662383711159,0.2025910503841492,26,26,26,1024,160,80
vision.early,mean,shuffled_labels,1,0.5131918572308954,0.21572622483607118,26,26,26,1024,160,80
vision.early,mean,shuffled_labels,2,0.4969829594772355,0.19879210367465028,26,26,26,1024,160,80
vision.early,mean,random_projection,0,0.539152627548606,0.22822067095545556,26,26,26,256,160,80
vision.early,mean,random_projection,1,0.538316065512218,0.2406682439269828,26,26,26,256,160,80
vision.early,mean,random_projection,2,0.5465599319695631,0.22955021550252816,26,26,26,256,160,80
vision.middle,mean,primary,0,0.5936494105838048,0.2135138076047545,26,26,26,1024,160,80
vision.middle,mean,primary,1,0.5965304838759475,0.20675366815385723,26,26,26,1024,160,80
vision.middle,mean,primary,2,0.5956449454404564,0.21150744908505822,26,26,26,1024,160,80
vision.middle,mean,prevalence,-1,0.5,0.0,26,26,26,1024,160,80
vision.middle,mean,shuffled_labels,0,0.5073036214681221,0.15199763172792186,26,26,26,1024,160,80
vision.middle,mean,shuffled_labels,1,0.5073646352474206,0.17726402947828793,26,26,26,1024,160,80
vision.middle,mean,shuffled_labels,2,0.47889677633714217,0.1349605633716043,26,26,26,1024,160,80
vision.middle,mean,random_projection,0,0.5653174214069642,0.2647025539663954,26,26,26,256,160,80
vision.middle,mean,random_projection,1,0.5711798394130866,0.26307411366675254,26,26,26,256,160,80
vision.middle,mean,random_projection,2,0.5547977858308274,0.2536663867674581,26,26,26,256,160,80
vision.late,mean,primary,0,0.6688252489443878,0.34520767417162024,26,26,26,1024,160,80
vision.late,mean,primary,1,0.6664238398120037,0.3495711140478167,26,26,26,1024,160,80
vision.late,mean,primary,2,0.6694884398895452,0.3375157610426455,26,26,26,1024,160,80
vision.late,mean,prevalence,-1,0.5,0.0,26,26,26,1024,160,80
vision.late,mean,shuffled_labels,0,0.4983643502052798,0.16859173388523294,26,26,26,1024,160,80
vision.late,mean,shuffled_labels,1,0.49502892999890463,0.16263182516528663,26,26,26,1024,160,80
vision.late,mean,shuffled_labels,2,0.479563906693779,0.16601607687669792,26,26,26,1024,160,80
vision.late,mean,random_projection,0,0.6451049668251448,0.36523100651006546,26,26,26,256,160,80
vision.late,mean,random_projection,1,0.6399637973180317,0.32467045548662515,26,26,26,256,160,80
vision.late,mean,random_projection,2,0.6408100119031419,0.35375092059780255,26,26,26,256,160,80
vision.final,mean,primary,0,0.672156609118895,0.3446333808466359,26,26,26,1024,160,80
vision.final,mean,primary,1,0.6706577033693663,0.3618240694701727,26,26,26,1024,160,80
vision.final,mean,primary,2,0.6726291076056276,0.35479373940719916,26,26,26,1024,160,80
vision.final,mean,prevalence,-1,0.5,0.0,26,26,26,1024,160,80
vision.final,mean,shuffled_labels,0,0.4945249015955479,0.1775424707013016,26,26,26,1024,160,80
vision.final,mean,shuffled_labels,1,0.5049550845625185,0.18871100024158916,26,26,26,1024,160,80
vision.final,mean,shuffled_labels,2,0.4750851211044005,0.14501843047634821,26,26,26,1024,160,80
vision.final,mean,random_projection,0,0.6295671061714789,0.32840977295606844,26,26,26,256,160,80
vision.final,mean,random_projection,1,0.6485855748747982,0.32603284239120467,26,26,26,256,160,80
vision.final,mean,random_projection,2,0.6356910755080877,0.34076614608652495,26,26,26,256,160,80
projector.output,mean,primary,0,0.6507033826162412,0.366415106622395,26,26,26,4096,160,80
projector.output,mean,primary,1,0.6519722741931071,0.36498705716222224,26,26,26,4096,160,80
projector.output,mean,primary,2,0.6519951159265562,0.35832891983161635,26,26,26,4096,160,80
projector.output,mean,prevalence,-1,0.5,0.0,26,26,26,4096,160,80
projector.output,mean,shuffled_labels,0,0.4778694427545893,0.17293734483377016,26,26,26,4096,160,80
projector.output,mean,shuffled_labels,1,0.5023407523257016,0.18932713525758202,26,26,26,4096,160,80
projector.output,mean,shuffled_labels,2,0.49991120950054724,0.19839172638469815,26,26,26,4096,160,80
projector.output,mean,random_projection,0,0.6449601773571227,0.37174690244666553,26,26,26,256,160,80
projector.output,mean,random_projection,1,0.6549057628347454,0.3585623880346561,26,26,26,256,160,80
projector.output,mean,random_projection,2,0.6237985979632265,0.35001954215566927,26,26,26,256,160,80
llm.early,mean,primary,0,0.6620851860081857,0.3717589129179206,26,26,26,4096,160,80
llm.early,mean,primary,1,0.6619202462590107,0.3640300277102402,26,26,26,4096,160,80
llm.early,mean,primary,2,0.6612961437565843,0.36285841156388077,26,26,26,4096,160,80
llm.early,mean,prevalence,-1,0.5,0.0,26,26,26,4096,160,80
llm.early,mean,shuffled_labels,0,0.4821302718151824,0.16954937456209163,26,26,26,4096,160,80
llm.early,mean,shuffled_labels,1,0.5107646539811914,0.15892910439254673,26,26,26,4096,160,80
llm.early,mean,shuffled_labels,2,0.4736379482140089,0.21880347461717956,26,26,26,4096,160,80
llm.early,mean,random_projection,0,0.6521426055592854,0.35214553901855544,26,26,26,256,160,80
llm.early,mean,random_projection,1,0.6482309812599147,0.34810768504477907,26,26,26,256,160,80
llm.early,mean,random_projection,2,0.6412038123676422,0.32851562896214714,26,26,26,256,160,80
llm.middle,mean,primary,0,0.6625611826663167,0.356764366738955,26,26,26,4096,160,80
llm.middle,mean,primary,1,0.6665910372357855,0.35644885846521834,26,26,26,4096,160,80
llm.middle,mean,primary,2,0.6644742389382429,0.3539523712736649,26,26,26,4096,160,80
llm.middle,mean,prevalence,-1,0.5,0.0,26,26,26,4096,160,80
