stage,comparison,n,auroc_delta_mean,auroc_delta_sd,f1_delta_mean,f1_delta_sd
vision.early,primary-minus-shuffled_labels,3,0.049944986090103415,0.008414471575205166,0.02472581228345867,0.005763465060136717
vision.middle,primary-minus-shuffled_labels,3,0.09741993561584132,0.016798024920320252,0.05585090008861863,0.024034717327514332
vision.late,primary-minus-shuffled_labels,3,0.17726011391599109,0.010977646876359201,0.17835163777828833,0.007864784344699016
vision.final,primary-minus-shuffled_labels,3,0.18029277094380727,0.016086613007651702,0.18332642943492294,0.023102467832432538
projector.output,primary-minus-shuffled_labels,3,0.15818312271835547,0.012747092991366699,0.1763582923800611,0.01678118655405151
llm.early,primary-minus-shuffled_labels,3,0.17292290067113267,0.019240502121952913,0.18378846620674125,0.034440601582191706
llm.middle,primary-minus-shuffled_labels,3,0.17046072999746856,0.012531526617584231,0.1859526693878851,0.020216436020540275
llm.late,primary-minus-shuffled_labels,3,0.1587213336222025,0.016312508706114736,0.15572215410075374,0.023515424734623487
llm.final,primary-minus-shuffled_labels,3,0.1613656085553655,0.021994603699660154,0.17150564400513216,0.006679546574988561
vision.early,primary-minus-random_projection,3,0.014782462773056651,0.004387857637823819,-0.0023841048799066364,0.002789146661972145
vision.middle,primary-minus-random_projection,3,0.03150993108311021,0.008222528898898521,-0.049889376518978706,0.007169612785869983
vision.late,primary-minus-random_projection,3,0.026286250866539424,0.0024836375052197375,-0.003785944444136861,0.024915426090035105
vision.final,primary-minus-random_projection,3,0.03386655451317466,0.010597931143531646,0.022014142763403282,0.011981721878612954
projector.output,primary-minus-random_projection,3,0.010335411526936622,0.016065042689360685,0.0031340836597475628,0.007391979988915219
llm.early,primary-minus-random_projection,3,0.014574725612312767,0.0051324839414642566,0.023292833055520008,0.009745869208172954
llm.middle,primary-minus-random_projection,3,0.020591247269060586,0.007301081257047849,0.028892157654913913,0.010123890509456748
llm.late,primary-minus-random_projection,3,0.005361464454283575,0.0030949366173257087,0.006621746212368144,0.02000998472394412
llm.final,primary-minus-random_projection,3,0.00978978658222899,0.015124714719578049,0.015060447675536473,0.02160773271178772
