stage,pooling,seed,comparison,auroc_delta,f1_delta
vision.early,mean,0,primary-minus-shuffled_labels,0.04694878949896808,0.023599374745057383
vision.early,mean,1,primary-minus-shuffled_labels,0.043438683322481686,0.019608724427707003
vision.early,mean,2,primary-minus-shuffled_labels,0.05944748544886047,0.03096933767761162
vision.middle,mean,0,primary-minus-shuffled_labels,0.08634578911568269,0.061516175876832696
vision.middle,mean,1,primary-minus-shuffled_labels,0.08916584862852694,0.029489638675569307
vision.middle,mean,2,primary-minus-shuffled_labels,0.11674816910331431,0.07654688571345389
vision.late,mean,0,primary-minus-shuffled_labels,0.17046089873910797,0.17661594028638727
vision.late,mean,1,primary-minus-shuffled_labels,0.17139490981309913,0.1869392888825301
vision.late,mean,2,primary-minus-shuffled_labels,0.1899245331957662,0.17149968416594763
vision.final,mean,0,primary-minus-shuffled_labels,0.17763170752334706,0.1670909101453343
vision.final,mean,1,primary-minus-shuffled_labels,0.16570261880684778,0.1731130692285836
vision.final,mean,2,primary-minus-shuffled_labels,0.19754398650122706,0.20977530893085092
projector.output,mean,0,primary-minus-shuffled_labels,0.17283393986165185,0.1934777617886249
projector.output,mean,1,primary-minus-shuffled_labels,0.14963152186740547,0.1756599219046402
projector.output,mean,2,primary-minus-shuffled_labels,0.15208390642600905,0.1599371934469182
llm.early,mean,0,primary-minus-shuffled_labels,0.17995491419300325,0.20220953835582903
llm.early,mean,1,primary-minus-shuffled_labels,0.15115559227781927,0.20510092331769347
llm.early,mean,2,primary-minus-shuffled_labels,0.1876581955425754,0.1440549369467012
llm.middle,mean,0,primary-minus-shuffled_labels,0.1658598457804536,0.19360903305330152
llm.middle,mean,1,primary-minus-shuffled_labels,0.16087996603573895,0.2012226381708718
llm.middle,mean,2,primary-minus-shuffled_labels,0.18464237817621315,0.163026336939482
llm.late,mean,0,primary-minus-shuffled_labels,0.175064922142523,0.1828485614393404
llm.late,mean,1,primary-minus-shuffled_labels,0.14244008340027114,0.1432047607037119
llm.late,mean,2,primary-minus-shuffled_labels,0.15865899532381333,0.14111314015920892
llm.final,mean,0,primary-minus-shuffled_labels,0.1758831310206691,0.17630064211786892
llm.final,mean,1,primary-minus-shuffled_labels,0.13605986009472582,0.17434000286651918
llm.final,mean,2,primary-minus-shuffled_labels,0.1721538345507016,0.1638762870310084
vision.early,mean,0,primary-minus-random_projection,0.016162400321477977,-0.0020302458262489165
vision.early,mean,1,primary-minus-random_projection,0.01831447504115913,-0.005333294663204702
vision.early,mean,2,primary-minus-random_projection,0.009870512956532851,0.0002112258497337094
vision.middle,mean,0,primary-minus-random_projection,0.028331989176840655,-0.05118874636164092
vision.middle,mean,1,primary-minus-random_projection,0.02535064446286095,-0.05632044551289528
vision.middle,mean,2,primary-minus-random_projection,0.040847159609629036,-0.04215893768239992
vision.late,mean,0,primary-minus-random_projection,0.02372028211924293,-0.02002333233844522
vision.late,mean,1,primary-minus-random_projection,0.026460042493972047,0.024900658561191613
vision.late,mean,2,primary-minus-random_projection,0.0286784279864033,-0.016235159555156975
vision.final,mean,0,primary-minus-random_projection,0.042589502947416036,0.016223607890567537
vision.final,mean,1,primary-minus-random_projection,0.022072128494568077,0.03579122707896809
vision.final,mean,2,primary-minus-random_projection,0.036938032097539875,0.014027593320674214
projector.output,mean,0,primary-minus-random_projection,0.005743205259118422,-0.005331795824270458
projector.output,mean,1,primary-minus-random_projection,-0.0029334886416383377,0.006424669127566063
projector.output,mean,2,primary-minus-random_projection,0.02819651796332978,0.008309377675947083
llm.early,mean,0,primary-minus-random_projection,0.009942580448900284,0.01961337389936524
llm.early,mean,1,primary-minus-random_projection,0.013689264999095951,0.015922342665461164
llm.early,mean,2,primary-minus-random_projection,0.020092331388942064,0.034342782601733624
llm.middle,mean,0,primary-minus-random_projection,0.02834837013251501,0.0350189116476739
llm.middle,mean,1,primary-minus-random_projection,0.013853302829940017,0.017206697199089904
llm.middle,mean,2,primary-minus-random_projection,0.01957206884472673,0.03445086411797793
llm.late,mean,0,primary-minus-random_projection,0.008709662559933107,0.0243036324860072
llm.late,mean,1,primary-minus-random_projection,0.00476940502608314,-0.015099905833787397
llm.late,mean,2,primary-minus-random_projection,0.0026053257768344773,0.01066151198488463
llm.final,mean,0,primary-minus-random_projection,0.02001759167172712,0.03907749786625814
llm.final,mean,1,primary-minus-random_projection,-0.00758384669516865,-0.002802997406154528
llm.final,mean,2,primary-minus-random_projection,0.016935614770128504,0.008906842566505813
