stage,control,n,auroc_mean,auroc_sd,f1_mean,f1_sd,train_loss_mean,train_loss_sd
vision.early,primary,3,0.5561253377831857,0.0007088449629272892,0.23042893858174884,0.004608659764559523,0.011868983817597165,0.0001699488044004374
vision.early,prevalence,1,0.5,,0.0,,,
vision.early,shuffled_labels,3,0.5061803516930823,0.008322599775554183,0.20570312629829016,0.008885655701688708,0.013311062939464999,0.00041920470108217203
vision.early,random_projection,3,0.541342875010129,0.0045374245446801785,0.23281304346165546,0.006835206868743742,0.05312355856100714,0.0006431483656034415
vision.middle,primary,3,0.595274946633403,0.0014757439366605096,0.21059164161455665,0.003471872526629441,0.006796011235564899,4.107868046137957e-05
vision.middle,prevalence,1,0.5,,0.0,,,
vision.middle,shuffled_labels,3,0.49785501101756163,0.01641834118657277,0.154740741525938,0.021284719863855647,0.0079625664899746,0.0002859692788985449
vision.middle,random_projection,3,0.5637650155502927,0.008300626051742931,0.26048101813353536,0.005957546050515934,0.0244671727220217,0.000584877609978434
vision.late,primary,3,0.668245842881979,0.0016123668775077217,0.3440981830873608,0.0061037784911774935,0.009442818040649066,0.00011212972270363222
vision.late,prevalence,1,0.5,,0.0,,,
vision.late,shuffled_labels,3,0.4909857289659878,0.010031190108941086,0.16574654530907248,0.00298908237373662,0.012393953278660733,0.0003778471241823313
vision.late,random_projection,3,0.6419595920154394,0.0027566386780208197,0.34788412753149767,0.020907032799835763,0.030607509116331668,0.0012867593676924034
vision.final,primary,3,0.6718144733646296,0.0010292722290275193,0.3537503965746693,0.008642706002028119,0.010181221490104933,0.00020390310048788677
vision.final,prevalence,1,0.5,,0.0,,,
vision.final,shuffled_labels,3,0.4915217024208223,0.015159752082723191,0.17042396713974628,0.022699448955635863,0.013598920777440035,0.0002779186904261631
vision.final,random_projection,3,0.637947918851455,0.009708014439737886,0.331736253811266,0.007909909329735168,0.031965119143326996,0.0010545337899280061
projector.output,primary,3,0.6515569242453015,0.0007392769579805371,0.3632436945387445,0.0043157953069562155,0.010923983529210033,0.00020740530859887329
projector.output,prevalence,1,0.5,,0.0,,,
projector.output,shuffled_labels,3,0.49337380152694604,0.01348200746518415,0.1868854021586834,0.012901663862841433,0.0141638051718473,0.0002571535817666619
projector.output,random_projection,3,0.6412215127183649,0.015887011567528694,0.36010961087899696,0.010946002475846019,0.0671952217817306,0.0015837841149391927
llm.early,primary,3,0.6617671920079269,0.0004161924092702291,0.36621578406401384,0.004836101654934792,0.009120352566242168,0.00013090988830121112
llm.early,prevalence,1,0.5,,0.0,,,
llm.early,shuffled_labels,3,0.48884429133679425,0.019452676265315643,0.18242731785727262,0.031947083123260576,0.0121959509948889,9.17951238228515e-05
llm.early,random_projection,3,0.6471924663956141,0.005542849805372199,0.34292295100849385,0.01263939328404439,0.06290451561411216,0.001362882370572596
llm.middle,primary,3,0.6645421529467818,0.0020157855037637334,0.3557218654926127,0.0015405254658286025,0.006049477650473467,5.6377292929771144e-05
llm.middle,prevalence,1,0.5,,0.0,,,
llm.middle,shuffled_labels,3,0.4940814229493131,0.013137021922794615,0.16976919610472763,0.018746374654678058,0.0084351844464739,0.00014134696177393958
llm.middle,random_projection,3,0.6439509056777211,0.009299024711382378,0.3268297078376988,0.010807894136653711,0.04025671879450473,0.0005429300209224319
llm.late,primary,3,0.660754575050261,0.0005908162173980742,0.3406032764301153,0.008070681922206772,0.0035540892276912333,3.114064172636192e-05
llm.late,prevalence,1,0.5,,0.0,,,
llm.late,shuffled_labels,3,0.5020332414280585,0.016202768983970467,0.18488112232936152,0.01726721845951781,0.005109518145521433,0.00013358860714214051
llm.late,random_projection,3,0.6553931105959774,0.003493809031465453,0.3339815302177471,0.019566511522285508,0.030640644952654766,0.0013203026943613934
llm.final,primary,3,0.667133338091492,0.0011548605940371087,0.35977758798990783,0.0064615561842912795,0.0038515341002493667,2.5000711531057873e-05
llm.final,prevalence,1,0.5,,0.0,,,
llm.final,shuffled_labels,3,0.5057677295361266,0.02205338586851465,0.18827194398477567,0.0006194508307892159,0.005682168062776299,0.0001656478810024896
llm.final,random_projection,3,0.6573435515092632,0.015177413638027553,0.3447171403143714,0.020589723065979913,0.03181356377899643,0.0015850885489557224
