attribute_id,attribute_name,attribute_group,before,after,validation_positive,validation_negative,auroc_delta_mean,auroc_delta_sd,f1_delta_mean,f1_delta_sd
2,has_bill_shape::dagger,has_bill_shape,vision.late,projector.output,4,72,0.05092592592592593,0.025118674090521688,0.04999999999999999,0.12521586299538492
2,has_bill_shape::dagger,has_bill_shape,vision.late,llm.final,4,72,-0.13425925925925927,0.026291242341667968,-0.014814814814814817,0.013981174880131024
5,has_bill_shape::hooked_seabird,has_bill_shape,vision.late,projector.output,3,73,0.004566210045662045,0.0,0.11688311688311687,0.0
5,has_bill_shape::hooked_seabird,has_bill_shape,vision.late,llm.final,3,73,-0.0182648401826484,0.0,0.045787545787545826,0.02220577958421636
7,has_bill_shape::all-purpose,has_bill_shape,vision.late,projector.output,34,42,0.010971055088702183,0.004968206501819081,0.12053537663123476,0.015016724095538033
7,has_bill_shape::all-purpose,has_bill_shape,vision.late,llm.final,34,42,-0.06069094304388423,0.009711785276710853,-0.08246594968545544,0.022913422849520623
8,has_bill_shape::cone,has_bill_shape,vision.late,projector.output,21,55,0.016738816738816758,0.00217888439690357,0.125,0.0
8,has_bill_shape::cone,has_bill_shape,vision.late,llm.final,21,55,-0.08629148629148627,0.004768459348299632,-0.025925925925925946,0.025660011963983372
96,has_head_pattern::malar,has_head_pattern,vision.late,projector.output,10,66,-0.00252525252525256,0.014320653412886658,0.05079365079365079,0.0769800358919501
96,has_head_pattern::malar,has_head_pattern,vision.late,llm.final,10,66,-0.04292929292929296,0.015176746667996672,0.07039964866051822,0.10799240169281843
100,has_head_pattern::eyebrow,has_head_pattern,vision.late,projector.output,14,62,-0.021121351766513086,0.010642401275384825,-0.10623931623931626,0.013471506281091259
100,has_head_pattern::eyebrow,has_head_pattern,vision.late,llm.final,14,62,-0.03417818740399392,0.012742442414006933,-0.1677777777777778,0.013471506281091259
101,has_head_pattern::eyering,has_head_pattern,vision.late,projector.output,16,60,-0.03541666666666669,0.004166666666666652,-0.04677871148459384,0.028139761019326293
101,has_head_pattern::eyering,has_head_pattern,vision.late,llm.final,16,60,-0.053819444444444454,0.0036582131086294314,-0.05971698552343715,0.028375173767816442
102,has_head_pattern::plain,has_head_pattern,vision.late,projector.output,13,63,-0.030932030932030934,0.003072785687940872,0.05962962962962961,0.03656551704867628
102,has_head_pattern::plain,has_head_pattern,vision.late,llm.final,13,63,-0.06959706959706957,0.005322220932284075,-0.042222222222222196,0.03656551704867628
103,has_head_pattern::eyeline,has_head_pattern,vision.late,projector.output,7,69,-0.14699792960662525,0.012593711242853451,0.0,0.0
103,has_head_pattern::eyeline,has_head_pattern,vision.late,llm.final,7,69,0.15665976535541756,0.002390684344470515,0.24387959866220735,0.015420635454080046
104,has_head_pattern::striped,has_head_pattern,vision.late,projector.output,14,62,0.010368663594470048,0.021023372800569897,-0.08677997183744311,0.0022687897404052243
104,has_head_pattern::striped,has_head_pattern,vision.late,llm.final,14,62,-0.05491551459293398,0.02561475598410488,-0.10159478665225792,0.005739869899230414
105,has_head_pattern::capped,has_head_pattern,vision.late,projector.output,9,67,-0.07573244886677723,0.007478026124084394,-0.03570691434468525,0.07096224670844625
105,has_head_pattern::capped,has_head_pattern,vision.late,llm.final,9,67,0.047540077390823665,0.020867425194225415,0.07736887858591712,0.04530226808100225
107,has_breast_color::brown,has_breast_color,vision.late,projector.output,14,61,-0.048009367681498806,0.011532620376810378,0.06237762237762238,0.08104795548964089
107,has_breast_color::brown,has_breast_color,vision.late,llm.final,14,61,0.01795472287275568,0.0126297343383009,0.11310886644219977,0.03668583615760088
111,has_breast_color::grey,has_breast_color,vision.late,projector.output,19,56,0.008458646616541351,0.008458646616541332,-0.13435897435897437,0.04441155916843275
111,has_breast_color::grey,has_breast_color,vision.late,llm.final,19,56,-0.025689223057644112,0.009414147369246065,0.05518817204301075,0.03765432460736991
117,has_breast_color::black,has_breast_color,vision.late,projector.output,30,45,-0.0869135802469136,0.008325785333376454,-0.22917955060812203,0.00490944106453764
117,has_breast_color::black,has_breast_color,vision.late,llm.final,30,45,-0.02666666666666669,0.006457628064504675,-0.14626343290939567,0.004344311973171161
118,has_breast_color::white,has_breast_color,vision.late,projector.output,41,34,-0.025824964131994237,0.005172957353606878,0.08890343817690859,0.022649535952608345
118,has_breast_color::white,has_breast_color,vision.late,llm.final,41,34,0.020564323290291748,0.010254319293348468,0.05871276021080688,0.03631525870934024
120,has_breast_color::buff,has_breast_color,vision.late,projector.output,26,49,-0.032705389848247,0.010244255337756128,0.12516435495158904,0.03828195743621189
120,has_breast_color::buff,has_breast_color,vision.late,llm.final,26,49,0.03872318158032443,0.013782906531727817,0.18261413383364605,0.0
294,has_crown_color::blue,has_crown_color,vision.late,projector.output,4,71,0.0,0.0,0.02424242424242425,0.04198911048651825
294,has_crown_color::blue,has_crown_color,vision.late,llm.final,4,71,0.0,0.0,-0.16037296037296037,0.04198911048651825
295,has_crown_color::brown,has_crown_color,vision.late,projector.output,33,42,-0.013468013468013443,0.0032534269500886963,0.06439575560318593,0.03154048239269349
295,has_crown_color::brown,has_crown_color,vision.late,llm.final,33,42,-0.00481000481000482,0.004102626769897048,0.03496696477088632,0.03586401361583003
299,has_crown_color::grey,has_crown_color,vision.late,projector.output,18,57,0.00617283950617283,0.0049056753965372795,0.18109981903085354,0.042486263318744236
299,has_crown_color::grey,has_crown_color,vision.late,llm.final,18,57,0.03508771929824558,0.005157409963088892,0.1798726178036523,0.054546198741620255
305,has_crown_color::black,has_crown_color,vision.late,projector.output,24,51,0.007897603485838825,0.006802830063614833,0.0632703553756186,0.02259535466464121
305,has_crown_color::black,has_crown_color,vision.late,llm.final,24,51,-0.038671023965141584,0.005439810554313211,-0.03031066182990233,0.019927341110882766
